,sulphates,fixed acidity,volatile acidity,citric acid,quality
0,0.56,7.4,0.7,0.0,5
1,0.68,7.8,0.88,0.0,5
2,0.65,7.8,0.76,0.04,5
3,0.58,11.2,0.28,0.56,6
4,0.56,7.4,0.7,0.0,5
5,0.56,7.4,0.66,0.0,5
6,0.46,7.9,0.6,0.06,5
7,0.47,7.3,0.65,0.0,7
8,0.57,7.8,0.58,0.02,7
9,0.8,7.5,0.5,0.36,5
10,0.54,6.7,0.58,0.08,5
11,0.8,7.5,0.5,0.36,5
12,0.52,5.6,0.615,0.0,5
13,1.56,7.8,0.61,0.29,5
14,0.88,8.9,0.62,0.18,5
15,0.93,8.9,0.62,0.19,5
16,0.75,8.5,0.28,0.56,7
17,1.28,8.1,0.56,0.28,5
18,0.5,7.4,0.59,0.08,4
19,1.08,7.9,0.32,0.51,6
20,0.53,8.9,0.22,0.48,6
21,0.65,7.6,0.39,0.31,5
22,0.91,7.9,0.43,0.21,5
23,0.53,8.5,0.49,0.11,5
24,0.63,6.9,0.4,0.14,6
25,0.56,6.3,0.39,0.16,5
26,0.59,7.6,0.41,0.24,5
27,0.91,7.9,0.43,0.21,5
28,0.55,7.1,0.71,0.0,5
29,0.59,7.8,0.645,0.0,6
30,0.54,6.7,0.675,0.07,5
31,0.57,6.9,0.685,0.0,6
32,0.66,8.3,0.655,0.12,5
33,0.52,6.9,0.605,0.12,6
34,0.55,5.2,0.32,0.25,5
35,0.55,7.8,0.645,0.0,6
36,0.6,7.8,0.6,0.14,6
37,0.73,8.1,0.38,0.28,7
38,0.48,5.7,1.13,0.09,4
39,0.83,7.3,0.45,0.36,5
40,0.83,7.3,0.45,0.36,5
41,0.51,8.8,0.61,0.3,4
42,0.9,7.5,0.49,0.2,6
43,1.2,8.1,0.66,0.22,5
44,0.52,6.8,0.67,0.02,5
45,0.56,4.6,0.52,0.15,4
46,0.73,7.7,0.935,0.43,5
47,0.58,8.7,0.29,0.52,5
48,0.56,6.4,0.4,0.23,5
49,0.58,5.6,0.31,0.37,5
50,0.74,8.8,0.66,0.26,5
51,0.63,6.6,0.52,0.04,6
52,0.64,6.6,0.5,0.04,6
53,0.56,8.6,0.38,0.36,5
54,0.63,7.6,0.51,0.15,6
55,0.53,7.7,0.62,0.04,5
56,0.63,10.2,0.42,0.57,5
57,0.77,7.5,0.63,0.12,5
58,0.59,7.8,0.59,0.18,5
59,0.54,7.3,0.39,0.31,6
60,0.64,8.8,0.4,0.4,5
61,0.71,7.7,0.69,0.49,5
62,0.62,7.5,0.52,0.16,7
63,0.57,7.0,0.735,0.05,5
64,0.39,7.2,0.725,0.05,5
65,0.39,7.2,0.725,0.05,5
66,0.58,7.5,0.52,0.11,5
67,0.58,6.6,0.705,0.07,5
68,0.79,9.3,0.32,0.57,5
69,0.95,8.0,0.705,0.05,6
70,0.54,7.7,0.63,0.08,6
71,0.48,7.7,0.67,0.23,5
72,0.48,7.7,0.69,0.22,5
73,0.53,8.3,0.675,0.26,4
74,0.82,9.7,0.32,0.54,5
75,0.66,8.8,0.41,0.64,5
76,0.66,8.8,0.41,0.64,5
77,0.55,6.8,0.785,0.0,6
78,0.52,6.7,0.75,0.12,5
79,1.12,8.3,0.625,0.2,4
80,0.56,6.2,0.45,0.2,5
81,1.28,7.8,0.43,0.7,5
82,0.57,7.4,0.5,0.47,5
83,1.14,7.3,0.67,0.26,5
84,0.78,6.3,0.3,0.48,6
85,0.59,6.9,0.55,0.15,5
86,1.95,8.6,0.49,0.28,6
87,0.64,7.7,0.49,0.26,5
88,1.22,9.3,0.39,0.44,5
89,0.53,7.0,0.62,0.08,5
90,0.54,7.9,0.52,0.26,5
91,1.95,8.6,0.49,0.28,6
92,1.98,8.6,0.49,0.29,5
93,0.64,7.7,0.49,0.26,5
94,0.48,5.0,1.02,0.04,4
95,0.6,4.7,0.6,0.17,6
96,0.56,6.8,0.775,0.0,5
97,0.63,7.0,0.5,0.25,5
98,0.56,7.6,0.9,0.06,5
99,0.59,8.1,0.545,0.18,6
100,0.61,8.3,0.61,0.3,6
101,0.56,7.8,0.5,0.3,6
102,0.59,8.1,0.545,0.18,6
103,0.51,8.1,0.575,0.22,5
104,0.48,7.2,0.49,0.24,5
105,0.51,8.1,0.575,0.22,5
106,1.31,7.8,0.41,0.68,5
107,0.79,6.2,0.63,0.31,5
108,0.8,8.0,0.33,0.53,6
109,0.69,8.1,0.785,0.52,5
110,0.93,7.8,0.56,0.19,5
111,0.66,8.4,0.62,0.09,5
112,0.66,8.4,0.6,0.1,5
113,0.67,10.1,0.31,0.44,6
114,0.93,7.8,0.56,0.19,5
115,0.63,9.4,0.4,0.31,6
116,0.61,8.3,0.54,0.28,6
117,0.5,7.8,0.56,0.12,6
118,0.6,8.8,0.55,0.04,6
119,0.54,7.0,0.69,0.08,6
120,0.57,7.3,1.07,0.09,5
121,0.6,8.8,0.55,0.04,6
122,0.52,7.3,0.695,0.0,5
123,0.53,8.0,0.71,0.0,5
124,0.48,7.8,0.5,0.17,5
125,0.7,9.0,0.62,0.04,5
126,0.49,8.2,1.33,0.0,5
127,0.48,8.1,1.33,0.0,5
128,0.92,8.0,0.59,0.16,7
129,0.57,6.1,0.38,0.15,5
130,0.66,8.0,0.745,0.56,5
131,0.63,5.6,0.5,0.09,5
132,0.63,5.6,0.5,0.09,5
133,0.58,6.6,0.5,0.01,6
134,0.55,7.9,1.04,0.05,6
135,0.82,8.4,0.745,0.11,5
136,0.77,8.3,0.715,0.15,5
137,0.64,7.2,0.415,0.36,5
138,0.54,7.8,0.56,0.19,5
139,0.54,7.8,0.56,0.19,5
140,0.82,8.4,0.745,0.11,5
141,0.77,8.3,0.715,0.15,5
142,0.79,5.2,0.34,0.0,6
143,0.58,6.3,0.39,0.08,5
144,0.79,5.2,0.34,0.0,6
145,0.62,8.1,0.67,0.55,5
146,0.52,5.8,0.68,0.02,5
147,0.8,7.6,0.49,0.26,5
148,0.58,6.9,0.49,0.1,6
149,0.61,8.2,0.4,0.44,6
150,0.53,7.3,0.33,0.47,6
151,2.0,9.2,0.52,1.0,4
152,0.54,7.5,0.6,0.03,5
153,0.54,7.5,0.6,0.03,5
154,0.72,7.1,0.43,0.42,5
155,0.71,7.1,0.43,0.42,5
156,0.72,7.1,0.43,0.42,5
157,0.71,7.1,0.43,0.42,5
158,0.5,7.1,0.68,0.0,5
159,0.57,6.8,0.6,0.18,6
160,0.56,7.6,0.95,0.03,5
161,1.08,7.6,0.68,0.02,4
162,0.56,7.8,0.53,0.04,6
163,0.49,7.4,0.6,0.26,5
164,0.49,7.3,0.59,0.26,5
165,0.62,7.8,0.63,0.48,5
166,0.52,6.8,0.64,0.1,5
167,0.48,7.3,0.55,0.03,4
168,0.55,6.8,0.63,0.07,6
169,1.59,7.5,0.705,0.24,5
170,0.33,7.9,0.885,0.03,4
171,0.61,8.0,0.42,0.17,6
172,0.61,8.0,0.42,0.17,6
173,0.57,7.4,0.62,0.05,6
174,0.47,7.3,0.38,0.21,5
175,0.78,6.9,0.5,0.04,5
176,0.47,7.3,0.38,0.21,5
177,0.61,7.5,0.52,0.42,6
178,0.56,7.0,0.805,0.0,5
179,0.59,8.8,0.61,0.14,5
180,0.59,8.8,0.61,0.14,5
181,1.02,8.9,0.61,0.49,5
182,0.52,7.2,0.73,0.02,5
183,0.58,6.8,0.61,0.2,5
184,0.58,6.7,0.62,0.21,6
185,0.53,8.9,0.31,0.57,5
186,0.55,7.4,0.39,0.48,5
187,0.49,7.7,0.705,0.1,5
188,0.55,7.9,0.5,0.33,5
189,0.55,7.9,0.49,0.32,5
190,0.62,8.2,0.5,0.35,5
191,0.62,6.4,0.37,0.25,6
192,0.61,6.8,0.63,0.12,5
193,0.55,7.6,0.55,0.21,5
194,0.55,7.6,0.55,0.21,5
195,0.54,7.8,0.59,0.33,5
196,0.59,7.3,0.58,0.3,5
197,0.97,11.5,0.3,0.6,6
198,0.85,5.4,0.835,0.08,7
199,0.43,6.9,1.09,0.06,4
200,0.82,9.6,0.32,0.47,7
201,1.03,8.8,0.37,0.48,5
202,0.79,6.8,0.5,0.11,5
203,0.55,7.0,0.42,0.35,5
204,0.56,7.0,0.43,0.36,6
205,0.77,12.8,0.3,0.74,7
206,0.77,12.8,0.3,0.74,7
207,0.53,7.8,0.57,0.31,5
208,0.67,7.8,0.44,0.28,5
209,0.88,11.0,0.3,0.58,7
210,0.86,9.7,0.53,0.6,6
211,0.56,8.0,0.725,0.24,6
212,0.67,11.6,0.44,0.64,6
213,0.43,8.2,0.57,0.26,5
214,0.71,7.8,0.735,0.08,6
215,0.76,7.0,0.49,0.49,5
216,0.57,8.7,0.625,0.16,5
217,0.55,8.1,0.725,0.22,5
218,0.54,7.5,0.49,0.19,5
219,0.6,7.8,0.53,0.33,5
220,0.59,7.8,0.34,0.37,6
221,0.57,7.4,0.53,0.26,5
222,0.6,6.8,0.61,0.04,5
223,0.6,8.6,0.645,0.25,6
224,0.57,8.4,0.635,0.36,4
225,0.58,7.7,0.43,0.25,6
226,1.61,8.9,0.59,0.5,6
227,0.63,9.0,0.82,0.14,5
228,0.58,7.7,0.43,0.25,6
229,0.5,6.9,0.52,0.25,5
230,0.62,5.2,0.48,0.04,7
231,0.52,8.0,0.38,0.06,6
232,0.7,8.5,0.37,0.2,6
233,0.5,6.9,0.52,0.25,5
234,0.55,8.2,1.0,0.09,6
235,0.58,7.2,0.63,0.0,6
236,0.58,7.2,0.63,0.0,6
237,0.58,7.2,0.645,0.0,6
238,0.58,7.2,0.63,0.0,6
239,0.55,8.2,1.0,0.09,6
240,1.09,8.9,0.635,0.37,5
241,0.71,12.0,0.38,0.56,6
242,0.49,7.7,0.58,0.1,6
243,0.84,15.0,0.21,0.44,7
244,0.84,15.0,0.21,0.44,7
245,0.96,7.3,0.66,0.0,6
246,0.52,7.1,0.68,0.07,5
247,0.45,8.2,0.6,0.17,5
248,0.48,7.7,0.53,0.06,6
249,0.96,7.3,0.66,0.0,6
250,0.78,10.8,0.32,0.44,6
251,0.7,7.1,0.6,0.0,6
252,0.53,11.1,0.35,0.48,5
253,0.59,7.7,0.775,0.42,5
254,0.7,7.1,0.6,0.0,6
255,0.57,8.0,0.57,0.23,5
256,0.62,9.4,0.34,0.37,5
257,0.67,6.6,0.695,0.0,5
258,1.26,7.7,0.41,0.76,5
259,0.8,10.0,0.31,0.47,7
260,0.65,7.9,0.33,0.23,5
261,0.6,7.0,0.975,0.04,4
262,0.57,8.0,0.52,0.03,5
263,0.67,7.9,0.37,0.23,5
264,0.87,12.5,0.56,0.49,5
265,0.72,11.8,0.26,0.52,7
266,0.72,8.1,0.87,0.0,4
267,0.86,7.9,0.35,0.46,8
268,0.91,6.9,0.54,0.04,6
269,0.97,11.5,0.18,0.51,6
270,0.67,7.9,0.545,0.06,6
271,0.97,11.5,0.18,0.51,6
272,0.78,10.9,0.37,0.58,5
273,0.64,8.4,0.715,0.2,5
274,0.77,7.5,0.65,0.18,5
275,0.67,7.9,0.545,0.06,6
276,0.91,6.9,0.54,0.04,6
277,0.97,11.5,0.18,0.51,6
278,0.82,10.3,0.32,0.45,8
279,0.77,8.9,0.4,0.32,7
280,0.82,11.4,0.26,0.44,6
281,1.08,7.7,0.27,0.68,7
282,0.57,7.6,0.52,0.12,5
283,0.77,8.9,0.4,0.32,7
284,0.71,9.9,0.59,0.07,5
285,0.71,9.9,0.59,0.07,5
286,0.76,12.0,0.45,0.55,6
287,0.7,7.5,0.4,0.12,6
288,0.86,8.7,0.52,0.09,7
289,0.95,11.6,0.42,0.53,5
290,0.86,8.7,0.52,0.09,7
291,0.71,11.0,0.2,0.48,5
292,0.64,10.4,0.55,0.23,6
293,0.6,6.9,0.36,0.25,6
294,0.81,13.3,0.34,0.52,6
295,0.64,10.8,0.5,0.46,5
296,0.52,10.6,0.83,0.37,5
297,0.73,7.1,0.63,0.06,5
298,0.8,7.2,0.65,0.02,5
299,0.71,6.9,0.67,0.06,5
300,0.59,7.5,0.53,0.06,6
301,0.64,11.1,0.18,0.48,6
302,0.72,8.3,0.705,0.12,5
303,0.54,7.4,0.67,0.12,5
304,0.52,8.4,0.65,0.6,5
305,0.59,10.3,0.53,0.48,6
306,0.52,7.6,0.62,0.32,5
307,0.62,10.3,0.41,0.42,6
308,0.63,10.3,0.43,0.44,6
309,0.53,7.4,0.29,0.38,6
310,0.59,10.3,0.53,0.48,6
311,0.54,7.9,0.53,0.24,6
312,0.63,9.0,0.46,0.31,6
313,0.53,8.6,0.47,0.3,5
314,0.68,7.4,0.36,0.29,5
315,0.65,7.1,0.35,0.29,6
316,0.65,9.6,0.56,0.23,5
317,0.64,9.6,0.77,0.12,6
318,0.71,9.8,0.66,0.39,7
319,0.64,9.6,0.77,0.12,6
320,0.71,9.8,0.66,0.39,7
321,0.62,9.3,0.61,0.26,5
322,0.63,7.8,0.62,0.05,5
323,0.7,10.3,0.59,0.42,6
324,0.69,10.0,0.49,0.2,6
325,0.69,10.0,0.49,0.2,6
326,0.74,11.6,0.53,0.66,7
327,0.83,10.3,0.44,0.5,5
328,0.67,13.4,0.27,0.62,6
329,0.62,10.7,0.46,0.39,5
330,0.66,10.2,0.36,0.64,6
331,0.66,10.2,0.36,0.64,6
332,0.54,8.0,0.58,0.28,6
333,0.52,8.4,0.56,0.08,5
334,0.74,7.9,0.65,0.01,7
335,0.84,11.9,0.695,0.53,7
336,0.7,8.9,0.43,0.45,6
337,0.64,7.8,0.43,0.32,5
338,1.0,12.4,0.49,0.58,6
339,1.36,12.5,0.28,0.54,7
340,1.18,12.2,0.34,0.5,6
341,0.87,10.6,0.42,0.48,6
342,0.75,10.9,0.39,0.47,6
343,0.75,10.9,0.39,0.47,6
344,0.78,11.9,0.57,0.5,6
345,0.81,7.0,0.685,0.0,5
346,0.89,6.6,0.815,0.02,7
347,0.93,13.8,0.49,0.67,6
348,0.92,9.6,0.56,0.31,6
349,0.86,9.1,0.785,0.0,6
350,0.98,10.7,0.67,0.22,6
351,0.83,9.1,0.795,0.0,6
352,0.73,7.7,0.665,0.0,5
353,0.77,13.5,0.53,0.79,5
354,0.59,6.1,0.21,0.4,6
355,0.61,6.7,0.75,0.01,6
356,0.88,11.5,0.41,0.52,5
357,0.75,10.5,0.42,0.66,7
358,0.85,11.9,0.43,0.66,7
359,0.68,12.6,0.38,0.66,6
360,0.7,8.2,0.7,0.23,5
361,0.91,8.6,0.45,0.31,6
362,0.56,11.9,0.58,0.66,5
363,0.87,12.5,0.46,0.63,5
364,0.73,12.8,0.615,0.66,7
365,0.93,10.0,0.42,0.5,6
366,0.73,12.8,0.615,0.66,7
367,0.69,10.4,0.575,0.61,5
368,0.64,10.3,0.34,0.52,5
369,1.13,9.4,0.27,0.53,7
370,0.78,6.9,0.765,0.02,5
371,0.87,7.9,0.24,0.4,6
372,1.04,9.1,0.28,0.48,6
373,0.63,7.4,0.55,0.22,5
374,0.81,14.0,0.41,0.63,6
375,0.83,11.5,0.54,0.71,7
376,1.11,11.5,0.45,0.5,6
377,1.13,9.4,0.27,0.53,7
378,0.99,11.4,0.625,0.66,6
379,0.7,8.3,0.42,0.38,6
380,0.8,8.3,0.26,0.42,6
381,0.8,13.7,0.415,0.68,6
382,0.8,8.3,0.26,0.42,6
383,0.8,8.3,0.26,0.42,6
384,0.74,7.7,0.51,0.28,5
385,0.76,7.4,0.63,0.07,6
386,0.74,7.8,0.54,0.26,6
387,0.54,8.3,0.66,0.15,6
388,0.74,7.8,0.46,0.26,6
389,0.7,9.6,0.38,0.31,7
390,0.82,5.6,0.85,0.05,8
391,0.8,13.7,0.415,0.68,6
392,0.51,9.5,0.37,0.52,5
393,0.54,8.4,0.665,0.61,5
394,0.57,12.7,0.6,0.65,5
395,0.6,12.0,0.37,0.76,7
396,0.53,6.6,0.735,0.02,5
397,0.65,11.5,0.59,0.59,6
398,0.65,11.5,0.59,0.59,6
399,0.55,8.7,0.765,0.22,5
400,0.53,6.6,0.735,0.02,5
401,0.47,7.7,0.26,0.3,6
402,0.61,12.2,0.48,0.54,6
403,0.63,11.4,0.6,0.49,6
404,0.61,7.7,0.69,0.05,5
405,0.76,8.7,0.31,0.46,6
406,0.65,9.8,0.44,0.47,6
407,0.63,12.0,0.39,0.66,7
408,0.7,10.4,0.34,0.58,6
409,0.57,12.5,0.46,0.49,4
410,0.62,9.0,0.43,0.34,6
411,0.62,9.1,0.45,0.35,5
412,0.64,7.1,0.735,0.16,5
413,0.82,9.9,0.4,0.53,7
414,0.61,8.8,0.52,0.34,5
415,1.07,8.6,0.725,0.24,5
416,0.66,10.6,0.48,0.64,6
417,0.48,7.0,0.58,0.12,5
418,0.76,11.9,0.38,0.51,6
419,0.68,6.8,0.77,0.0,5
420,0.73,9.5,0.56,0.33,7
421,0.56,6.6,0.84,0.03,7
422,0.44,7.7,0.96,0.2,5
423,0.9,10.5,0.24,0.47,7
424,0.44,7.7,0.96,0.2,5
425,0.56,6.6,0.84,0.03,7
426,0.49,6.4,0.67,0.08,6
427,0.56,9.5,0.78,0.22,6
428,0.6,9.1,0.52,0.33,5
429,0.6,12.8,0.84,0.63,6
430,0.9,10.5,0.24,0.47,7
431,0.56,7.8,0.55,0.35,5
432,0.65,11.9,0.37,0.69,6
433,0.49,12.3,0.39,0.63,5
434,0.89,10.4,0.41,0.55,6
435,0.49,12.3,0.39,0.63,5
436,0.56,8.0,0.67,0.3,6
437,0.66,11.1,0.45,0.73,6
438,0.89,10.4,0.41,0.55,6
439,0.6,7.0,0.62,0.18,5
440,0.82,12.6,0.31,0.72,8
441,0.68,11.9,0.4,0.65,6
442,0.68,15.6,0.685,0.76,7
443,0.63,10.0,0.44,0.49,7
444,0.84,5.3,0.57,0.01,7
445,0.56,9.5,0.735,0.1,6
446,0.73,12.5,0.38,0.6,5
447,0.72,9.3,0.48,0.29,5
448,0.56,8.6,0.53,0.22,6
449,0.61,11.9,0.39,0.69,6
450,0.61,11.9,0.39,0.69,6
451,1.06,8.4,0.37,0.53,6
452,0.63,6.8,0.56,0.03,6
453,0.74,10.4,0.33,0.63,7
454,0.63,7.0,0.23,0.4,5
455,0.69,11.3,0.62,0.67,8
456,0.58,8.9,0.59,0.39,5
457,0.58,9.2,0.63,0.21,5
458,0.74,10.4,0.33,0.63,7
459,0.57,11.6,0.58,0.66,3
460,0.61,9.2,0.43,0.52,6
461,0.61,8.3,0.615,0.22,5
462,0.61,11.0,0.26,0.68,5
463,0.53,8.1,0.66,0.7,5
464,0.7,11.5,0.315,0.54,6
465,0.91,10.0,0.29,0.4,5
466,0.72,10.3,0.5,0.42,6
467,0.79,8.8,0.46,0.45,6
468,0.62,11.4,0.36,0.69,6
469,0.58,8.7,0.82,0.02,5
470,0.61,13.0,0.32,0.65,5
471,0.71,9.6,0.54,0.42,6
472,0.82,12.5,0.37,0.55,6
473,0.79,9.9,0.35,0.55,5
474,0.89,10.5,0.28,0.51,6
475,0.6,9.6,0.68,0.24,5
476,0.7,9.3,0.27,0.41,5
477,1.06,10.4,0.24,0.49,6
478,0.6,9.6,0.68,0.24,5
479,0.7,9.4,0.685,0.11,6
480,0.66,10.6,0.28,0.39,5
481,0.92,9.4,0.3,0.56,8
482,1.05,10.6,0.36,0.59,5
